Modelo,RMSE,MAE,R2,MAPE
SARIMA,3181.7607481809023,2159.792943454778,-0.3105492038088076,
ARIMA,3446.2206443197297,2392.026049668398,-0.5374622127577597,
LSTM,5633.572715009895,4859.34308795036,-3.108526569332784,11.994503152056286
Informer,7413.109215266065,7069.972720423478,-6.114085627988114,17.67119312431297
Transformer,8787.449578923211,8649.897368742919,-8.996408231224056,21.728291733817482
