Modelo,RMSE,MAE,R2,MAPE
SARIMA,818.4023355852806,713.7925597325209,-0.31442698240857747,
ARIMA,839.7493959940223,727.6244617058338,-0.38389183097652757,
Informer,6091.818809138137,5885.692859937025,-71.82771775828444,16.021590177289767
LSTM,6798.051655883263,6090.614880142361,-89.69256105438674,16.580728220791404
Transformer,8741.627981155298,8655.505214114062,-148.96412775965135,23.57913552565864
